name,representative,website,phoneNumber
Samurai Builders Limited,YUSUKE KATO,http://www.samuraibuilders.co.nz/,027 664 2917
Integral Construction Limited,LINDSAY CAMERON,,021 953 519
King Build Limited,Tauri King-McTainsh,,021 169 0704
V & J Construction Limited,VICTOR WOOSEUNG JIN,,021 202 1048
Gilmore Homes And Builders Limited,DANIEL GILMORE,https://www.gilmorehomes.co.nz/,027 310 7873
Semmens Building & Consultants Limited,Murray Semmens,,027 437 6228
Dial A Builder Limited,ROY PEDEN,https://www.dialabuilder.co.nz/,07 350 1111
Newman Builders Limited,TODD L NEWMAN,,021 721 665
Southern Coast Construction Limited,BEVAN PALMER,,03 454 6916
Heineke Builders Limited,CHRIS HEINEKE,https://www.heinekebuilders.co.nz/,09 237 8075
Batten Builders Limited,Ethan Batten,,027 363 8851
Geline Holdings Limited,GED HAMMAR,,03 544 5142
Bernard Barber (2007) Limited,BERNARD BARBER,,07 866 4877
CBD Carpentry,CRAIG DONALDSON,,021 953 972
Van der Spek Builders Limited,ADRIAN VANDERSPEK,,07 579 3935
V W Developments Limited,RICHARD VAN WEERD,,021 931 900
Brian Paladin,BRIAN PALADIN,,021 860 603
SS Homes Hawkes Bay Limited,JASON SULLIVAN,https://sshomes.co.nz/,06 875 1127
Chatterton Builders Limited,BRENT CHATTERTON,https://www.chattertonbuilders.co.nz/,03 313 0103
Bosson Developments Limited,Nathan Bosson,,021 792 999
CJ Homes New Plymouth Limited,CHRIS EVANS,http://www.cjhomes.co.nz/,06 752 7301
Tony Spiers Builders,Tony Spiers,,021 227 8922
Craig Pilkington Builder,CRAIG PILKINGTON,,021 130 4786
Future Build Construction Limited,Troy Po,,027 337 2969
Johnny Phillips Construction,JOHNNY PHILLIPS,,
Bergman Construction,Tyler Bergman,,021 168 9045
M Sampson Builders Ltd,Michael Sampson,https://www.msampson.co.nz/,021 477 621
R N Building,Ryan Neutze,https://www.rn-building.com/,027 600 6761
Craig Schick Builders Limited,Craig Schich,,09 299 6125
Balmac B&D Limited,Thomas Price,,021 068 6337
MRB Builders Limited,MICHAEL BINNS,https://www.mrbbuilders.co.nz/,027 698 2696
Mitch Eder Construction Limited,Mitch Eder,https://www.mitchederconstruction.com/,027 699 8179
RSE Accommodation Solutions Limited,Zane Crisp,https://rseaccommodationsolutions.co.nz/,022 282 7623
Timbercraft,Peter Grant,,021 344 666
Conqa Construction Limited,Derek Liu,,022 616 9988
Red Builders,ADRIAN ROBINSON,http://www.redbuilders.co.nz,0800 733 284
Sands Build Limited,Nigel Sands,,027 390 7982
Wrap Master Limited,Yue Wang,http://wrapmaster.co.nz/,0800 969 727
Polglase Construction Limited,MALCOLM J POLGLASE,,021 517 977
Bay Homes,Adam Bowden,https://www.bayhomes.co.nz/,027 358 0865
Blair Ruscoe,Blair Ruscoe,,021 087 57207
Moana Construction Limited,MIKE STEWART,,021 103 3086
Stevens Builders Limited,Craig Stevens,,021 671 588
Leigh Pickford Builders Limited,LEIGH PICKFORD,,03 454 3078
Apex Building Kerikeri,Daniel Smallman,,027 343 7037
Superior Construction Limited,PHIL PENNEY,http://www.superiorconstruction.co.nz,021 770 988
Glenn Shaw - Builder,GLENN MARK SHAW,,021 547 325
First Homes,Daniel Campbell,https://www.firsthomes.nz/,07 925 0860
JAG Homes BOP Limited,Grant Welten,,027 696 1171
Longbush Builders Limited,GLEN VALSTER,,027 226 8139
Janssen Builders Limited,ERIC JANSSEN,,027 433 1851
Erne Construction Limited,Steve Rice,(021) 024-86395,021 024 86395
Anderson Builders Limited,SCOTT ANDERSON,,021 447 757
Impeccable Homes Limited,Shakti Singh,http://www.impeccablehomes.co.nz,021 064 5085
Jun Homes Limited,Peter Bae,,021 507 001
Mills Construction Limited,55694,http://www.millsconstruction.co.nz/,021 995 344
Nallard Construction Limited,DAVE ALLAN,,021 719 449
NJL Builders Limited,NIGEL J LAWSON,http://www.njlbuilding.co.nz/,027 548 4784
Pro Built NZ,Cam Gibson,https://www.probuiltnz.co.nz/,027 565 3200
Robertson Builders Limited,Glen Robertson,,027 476 4572
HMC Construction Limited,Hamish Connell,https://www.hmcconstruction.co.nz/contact,022 394 4530
BL Building Limited,BRUCE LAGA,,027 200 8999
Harrold Building Limited,55660a,http://www.harroldbuilding.com/,027 253 9861
Martin Building & Contracting Limited,LINDSAY MARTIN,,027 435 7105
Rob Lyon Builders,ROB LYON,https://www.roblyonbuilders.co.nz/,027 611 0806
Victoria Home Construction Limited,Kishore Lal,,027 527 9724
All Build Construction,Koss Newman,http://www.allbuildconstruction.co.nz,022 032 6831
Templeton Construction Limited,BEN TEMPLETON,,03 435 0724
General Construction (2010) Limited,GLENN CAMERON,https://www.generalconstruction.co.nz/,09 849 7220
M & M Building Contractors Limited,Mathew Moore,,021 815 456
Matai Builders Limited,DAVID J PIRRIT,,021 731 397
SMF Builders Limited,Scott Fairbain,,027 458 4520
Integrity Carpenters Limited,CHRIS J MOORE,,021 467 041
Jacobs Construction Limited,Blair Jacobs,https://www.jacobsconstruction.co.nz/,06 858 8808
Anton Berry Construction Limited,ANTON BERRY,,07 856 6114
Straight Up Construction Limited,RICHARD PETER BELL,,021 303 155
Williamson Contracting,A C WILLIAMSON,,021 478 681
CASSIDY&CO LTD,Scott Cassidy,https://cassidyandco.nz/,021 454 161
John Dickson Builders Limited,JOHN DICKSON,,027 463 6262
Brian Paladin,BRIAN PALADIN,,021 860 603
Aztec Building Services Limited,Rudy van Vlerken,,027 442 1049
Onoke Kopuha,NIGEL K GATTSCHE,https://onokekopuha.com/,027 447 2785
Fiordland Construction Ltd,Brendon Tozer,,027 492 4259
Olley Construction,MARCUS OLLEY,https://www.olleyconstruction.co.nz/,021 054 4474
Hands Builders Limited,CHRIS HANDS,,027 443 8755
Andrew O'Connell Building Contractor Limited,ANDREW O'CONNELL,,021 511 441
Coastal Construction,Sam Donaldson,,09 433 7177
Parkin Builders (2011) Limited,Logan Parkin,,027 405 8584
DEC Construction Limited,DARREN ETTRITCH,,021 319 939
Chris Gabites Construction Limited,Chris Gabites,https://chrisgabitesconstruction.co.nz/,022 619 8163
Ussher Green Building Limited,MATT GREEN,http://usshergreen.co.nz/,027 607 7919
Pragma Designer Homes Limited,Sanjil Mistry,www.pragmagroup.co.nz/homes,07 211 7545
Sole Construction,55761,,
J N Building Limited,JONATHAN NEWBLE,,027 465 6404
New Vision Properties Limited,Simon Dobbs,,027 217 7936
Lake Brunner Builders Limited,Simon Bagnell,,027 348 2466
Hylkema Homes,NATHAN HYLKEMA,,021 482 440
Schaw Building Limited,Marcus Schaw,https://www.schawbuilding.co.nz/,06 858 9345
Trendset Construction Ltd,Paul Beadle,,021 083 13421
Modern Earth Homes Limited,Sam McGregor,https://modernearthhomes.co.nz/,021 669 045
CBG Quality Construction,CLINTON GOLLOP,https://www.buildersinwanaka.co.nz/,03 443 4684
Salt Construction Limited,HUGH NISBET,https://saltconstruction.co.nz/,021 407 722
ZT Building Limited,Zane Taylor,,021 060 1867
RPM Building & Construction Limited,RORY PATRICK MCGLYNN,https://www.rpmbuilders.co.nz/,022 061 7686
BBMK Commercial Limited,Koen McGee,http://www.bbmk.co.nz/,021 074 4167
Lambly Builders Limited,Aaron Lambly,https://lamblybuilders.co.nz,021 280 1982
Whangamata Builders Limited,WADE ROBERT BOOTH,,021 456 970
MTR Build Limited,MICHAEL RIRINUI,,09 521 7114
Strong Builds,Sam Clunie,,027 324 1240
Kyuss Construction Limited,Gareth O'Neill,,021 901 321
Renovate Right Limited,LEWIS HILL,http://www.renovateright.co.nz/,027 553 8686
Salamander Build,CHARLIE BAILEY,http://www.salamanderbuild.co.nz/,021 415 369
iWiK Builders Limited,Jarrad Mark Studer,https://www.iwikbuilders.co.nz/,027 520 9780
Concise Construction,LEIGHTON BAKER,,03 312 8178
Future Build Construction Limited,Troy Po,,027 337 2969
Otene Construction,Kingi Otene,,020 404 83804
D & G Developments Limited,DON MAY,,021 977 796
Wright Brothers Building Limited,Stan Wright,https://www.wrighthomes.co.nz/contact/,027 844 9998
Calibre Builders,STEVE HOLMES,https://www.calibrebuilders.co.nz/,027 546 5637
Kingdom Builderz Group Limited,Keegan Bartholomew,https://kingdombuilderz.nz/,027 546 4366
Co Struct Limited,Laurence Creighton,,027 320 2819
